id,initiator_name,pja,committee,party,initiator_type,wins,avg_result,wins_per,result_1,result_2,result_3,result_4,result_5,result_6,result_7,result_8
5c77c6d5fed91f583dd7a71a,Авдеев Александр Александрович,"[1, 24]",10,1,Депутат Государственной Думы,2,2,0.008163265306122,154,16,51,5,6,11,0,2
5c77c6d5fed91f583dd7a71b,Авдеев Михаил Юрьевич,"[2, 8, 24, 28]",19,2,Депутат Государственной Думы,2,2,0.011627906976744,63,29,52,14,4,8,0,2
5c77c6d5fed91f583dd7a71c,Агаев Ваха Абуевич,[4],23,2,Депутат Государственной Думы,9,3,0.022900763358779,172,53,76,37,10,36,0,9
5c77c6d5fed91f583dd7a71d,Адучиев Батор Канурович,"[1, 2, 20]",1,1,Депутат Государственной Думы,4,1,0.005925925925926,561,25,35,16,12,22,0,4
5c77c6d5fed91f583dd7a71e,Азимов Рахим Азизбоевич,"[1, 2, 7, 17, 32, 36]",2,1,Депутат Государственной Думы,38,2,0.007452441655227,4187,175,268,159,105,164,3,38
5c77c6d5fed91f583dd7a71f,Аксаков Анатолий Геннадьевич,"[1, 2, 24, 26, 38]",23,4,Депутат Государственной Думы,64,2,0.016649323621228,1748,370,905,285,146,313,13,64
5c77c6d5fed91f583dd7a720,Алексеева Татьяна Олеговна,"[1, 2, 26, 38, 39]",12,1,Депутат Государственной Думы,41,2,0.016844700082169,1622,125,231,187,66,162,0,41
5c77c6d5fed91f583dd7a721,Алимова Ольга Николаевна,"[2, 39]",19,2,Депутат Государственной Думы,3,2,0.002382843526608,433,176,620,9,6,12,0,3
5c77c6d5fed91f583dd7a723,Альшевских Андрей Геннадьевич,[2],10,1,Депутат Государственной Думы,2,2,0.011173184357542,125,10,24,5,5,8,0,2
5c77c6d5fed91f583dd7a724,Ананских Игорь Александрович,"[21, 24]",26,4,Депутат Государственной Думы,11,2,0.006543723973825,623,166,761,45,23,52,0,11
5c77c6d5fed91f583dd7a725,Андрейченко Андрей Валерьевич,"[2, 26, 39]",16,3,Депутат Государственной Думы,2,2,0.003703703703704,215,51,234,17,6,12,3,2
5c77c6d5fed91f583dd7a726,Аникеев Григорий Викторович,"[8, 21, 28, 39]",17,1,Депутат Государственной Думы,7,2,0.013618677042802,369,25,34,31,20,28,0,7
5c77c6d5fed91f583dd7a727,Антонова Лидия Николаевна,"[1, 2, 26]",14,1,Депутат Государственной Думы,5,2,0.012468827930175,296,14,35,19,12,20,0,5
5c77c6d5fed91f583dd7a728,Антошкин Николай Тимофеевич,[34],16,1,Депутат Государственной Думы,16,2,0.008662696264212,1445,73,150,66,33,64,0,16
5c77c6d5fed91f583dd7a729,Арефьев Николай Васильевич,"[2, 11]",25,2,Депутат Государственной Думы,4,2,0.004410143329658,303,143,420,14,7,16,0,4
5c77c6d5fed91f583dd7a72a,Аршба Отари Ионович,"[9, 26, 33, 35, 36]",5,1,Депутат Государственной Думы,10,3,0.025125628140704,206,22,54,33,29,44,0,10
5c77c6d5fed91f583dd7a72b,Аршинова Алена Игоревна,"[26, 39]",14,1,Депутат Государственной Думы,52,2,0.020007695267411,1673,121,216,239,89,209,0,52
5c77c6d5fed91f583dd7a72c,Аскендеров Заур Асевович,"[8, 28, 38]",25,1,Депутат Государственной Думы,46,2,0.014814814814815,2095,168,280,209,91,201,15,46
5c77c6d5fed91f583dd7a72d,Афонин Юрий Вячеславович,[2],16,2,Депутат Государственной Думы,1,2,0.001788908765653,270,97,183,4,0,4,0,1
5c77c6d5fed91f583dd7a72e,Афонский Владимир Игорьевич,"[2, 32]",19,1,Депутат Государственной Думы,59,2,0.010016977928693,4393,295,483,259,128,270,3,59
5c77c6d5fed91f583dd7a72f,Байгускаров Зариф Закирович,[3],5,1,Депутат Государственной Думы,18,2,0.012203389830509,1101,63,112,62,47,72,0,18
5c77c6d5fed91f583dd7a730,Балыбердин Алексей Владимирович,"[14, 15, 16, 39]",25,1,Депутат Государственной Думы,8,2,0.007722007722008,826,42,60,33,25,42,0,8
5c77c6d5fed91f583dd7a731,Балыхин Григорий Артемович,"[1, 2, 26]",14,1,Депутат Государственной Думы,24,2,0.02107111501317,739,53,99,101,31,92,0,24
5c77c6d5fed91f583dd7a732,Бальбек Руслан Исмаилович,[1],7,1,Депутат Государственной Думы,6,2,0.018867924528302,160,37,50,20,18,27,0,6
5c77c6d5fed91f583dd7a733,Бариев Марат Мансурович,"[1, 2, 32, 39]",22,1,Депутат Государственной Думы,109,2,0.01316425120773,5861,437,713,486,200,468,6,109
5c77c6d5fed91f583dd7a734,Барышев Андрей Викторович,[2],10,1,Депутат Государственной Думы,1,1,0.001706484641638,511,32,34,2,2,4,0,1
5c77c6d5fed91f583dd7a735,Баталина Ольга Юрьевна,"[1, 2, 36, 39]",20,1,Депутат Государственной Думы,72,2,0.016893477240732,2784,229,401,321,143,312,0,72
5c77c6d5fed91f583dd7a736,Баталова Рима Акбердиновна,"[32, 39]",22,1,Депутат Государственной Думы,45,2,0.014754098360656,2076,173,277,195,78,200,6,45
5c77c6d5fed91f583dd7a737,Бахарев Константин Михайлович,"[24, 33]",10,1,Депутат Государственной Думы,6,2,0.018575851393189,170,34,47,23,16,27,0,6
5c77c6d5fed91f583dd7a738,Бахметьев Виталий Викторович,"[1, 2, 7, 9]",25,1,Депутат Государственной Думы,12,2,0.008026755852843,1178,67,96,46,35,61,0,12
5c77c6d5fed91f583dd7a739,Белеков Иван Итулович,"[1, 2, 31, 33]",6,1,Депутат Государственной Думы,12,2,0.011225444340505,782,58,91,43,31,52,0,12
5c77c6d5fed91f583dd7a73a,Белик Дмитрий Анатольевич,"[1, 2, 21]",10,1,Депутат Государственной Думы,35,2,0.008450024142926,3186,195,297,157,111,161,0,35
5c77c6d5fed91f583dd7a73b,Белоусов Вадим Владимирович,"[2, 8]",1,4,Депутат Государственной Думы,29,2,0.012435677530017,1072,200,712,123,76,120,0,29
5c77c6d5fed91f583dd7a73c,Белых Ирина Викторовна,"[2, 26]",5,1,Депутат Государственной Думы,42,2,0.012503721345639,2427,145,268,180,102,183,12,42
5c77c6d5fed91f583dd7a73d,Березуцкий Юрий Николаевич,"[2, 26]",9,1,Депутат Государственной Думы,22,2,0.00952380952381,1813,84,149,84,62,96,0,22
5c77c6d5fed91f583dd7a73e,Беспалова Марина Павловна,"[1, 2, 8, 26]",5,1,Депутат Государственной Думы,25,2,0.008135372600065,2311,150,274,108,85,120,0,25
5c77c6d5fed91f583dd7a73f,Бессараб Светлана Викторовна,"[2, 27, 39]",20,1,Депутат Государственной Думы,27,2,0.008774780630484,2412,118,191,118,86,122,3,27
5c77c6d5fed91f583dd7a740,Бессарабов Даниил Владимирович,"[1, 2, 40]",5,1,Депутат Государственной Думы,4,2,0.015873015873016,168,16,26,12,10,16,0,4
5c77c6d5fed91f583dd7a741,Бикбаев Ильдар Зинурович,"[26, 34, 39]",3,1,Депутат Государственной Думы,15,2,0.011329305135952,1012,56,85,51,45,60,0,15
5c77c6d5fed91f583dd7a742,Бифов Анатолий Жамалович,"[1, 2, 8, 39]",1,2,Депутат Государственной Думы,11,3,0.017543859649123,260,71,159,54,16,56,0,11
5c77c6d5fed91f583dd7a743,Блоцкий Владимир Николаевич,"[20, 40]",16,2,Депутат Государственной Думы,2,2,0.005012531328321,171,57,150,6,5,8,0,2
5c77c6d5fed91f583dd7a744,Богодухов Владимир Иванович,"[2, 34]",13,1,Депутат Государственной Думы,7,2,0.010115606936416,501,33,60,37,22,32,0,7
5c77c6d5fed91f583dd7a745,Богуславский Ирек Борисович,"[8, 17, 21, 24]",25,1,Депутат Государственной Думы,101,2,0.016481723237598,3859,380,631,499,183,452,23,101
5c77c6d5fed91f583dd7a746,Боева Наталья Дмитриевна,"[2, 8]",1,1,Депутат Государственной Думы,27,1,0.006006674082314,3729,176,258,113,76,116,0,27
5c77c6d5fed91f583dd7a747,Боженов Сергей Андреевич,[1],14,1,Депутат Государственной Думы,4,1,0.005390835579515,617,26,46,14,13,22,0,4
5c77c6d5fed91f583dd7a748,Бокк Владимир Владимирович,"[2, 12]",25,1,Депутат Государственной Думы,2,1,0.006430868167203,251,15,25,6,4,8,0,2
5c77c6d5fed91f583dd7a749,Бондаренко Елена Вениаминовна,"[2, 32, 39]",7,1,Депутат Государственной Думы,12,2,0.007088009450679,1354,77,112,47,38,53,0,12
5c77c6d5fed91f583dd7a74a,Бондарь Оксана Андреевна,"[2, 26]",18,1,Депутат Государственной Думы,32,2,0.006305418719212,4111,190,311,159,112,157,3,32
5c77c6d5fed91f583dd7a74b,Бортко Владимир Владимирович,[31],11,2,Депутат Государственной Думы,3,2,0.006507592190889,219,78,126,13,6,16,0,3
5c77c6d5fed91f583dd7a74c,Борцов Николай Иванович,[8],7,1,Депутат Государственной Думы,33,2,0.019309537741369,1051,93,167,162,53,140,10,33
5c77c6d5fed91f583dd7a74d,Боташев Расул Борисович,[2],12,1,Депутат Государственной Думы,2,2,0.012820512820513,120,6,7,8,5,8,0,2
5c77c6d5fed91f583dd7a74e,Боярский Сергей Михайлович,"[1, 2, 24, 31]",9,1,Депутат Государственной Думы,9,2,0.016071428571429,373,41,54,28,20,35,0,9
5c77c6d5fed91f583dd7a74f,Брыкин Николай Гаврилович,"[4, 7, 8, 9, 21, 22, 28, 35]",5,1,Депутат Государственной Думы,23,2,0.008214285714286,2237,108,171,86,71,101,3,23
5c77c6d5fed91f583dd7a750,Брыксин Александр Юрьевич,"[24, 32, 39]",17,1,Депутат Государственной Думы,28,2,0.007520816545796,2910,139,277,143,65,146,15,28
5c77c6d5fed91f583dd7a751,Бугера Михаил Евгеньевич,"[1, 2]",16,1,Депутат Государственной Думы,5,2,0.008849557522124,429,23,43,25,13,24,3,5
5c77c6d5fed91f583dd7a752,Будуев Николай Робертович,"[2, 33, 36]",16,1,Депутат Государственной Думы,10,1,0.006493506493507,1265,61,105,35,24,40,0,10
5c77c6d5fed91f583dd7a753,Бузилов Валерий Викторович,"[2, 4, 8, 21, 28]",3,1,Депутат Государственной Думы,42,2,0.009491525423729,3445,165,276,170,132,195,0,42
5c77c6d5fed91f583dd7a754,Букачаков Родион Борисович,"[2, 8, 22]",1,1,Депутат Государственной Думы,15,1,0.006224066390042,2004,86,136,64,39,66,0,15
5c77c6d5fed91f583dd7a755,Булавинов Вадим Евгеньевич,"[1, 2, 33]",8,1,Депутат Государственной Думы,27,2,0.015237020316027,1138,92,183,150,51,119,12,27
5c77c6d5fed91f583dd7a756,Бурматов Владимир Владимирович,"[26, 33, 39]",24,1,Депутат Государственной Думы,45,2,0.0142675967026,2272,124,236,178,104,188,7,45
5c77c6d5fed91f583dd7a757,Бурнашов Алексей Леонидович,"[2, 28]",25,1,Депутат Государственной Думы,6,2,0.007585335018963,638,32,40,26,19,30,0,6
5c77c6d5fed91f583dd7a758,Быков Олег Петрович,"[35, 40]",5,1,Депутат Государственной Думы,4,2,0.008752735229759,340,19,32,19,17,26,0,4
5c77c6d5fed91f583dd7a759,Валеев Эрнест Абдулович,"[1, 35, 40]",2,1,Депутат Государственной Думы,29,2,0.019890260631001,880,98,152,107,62,130,0,29
5c77c6d5fed91f583dd7a75a,Валенчук Олег Дорианович,"[2, 8, 28]",16,1,Депутат Государственной Думы,14,2,0.01313320825516,751,51,95,59,28,68,0,14
5c77c6d5fed91f583dd7a75b,Валуев Николай Сергеевич,"[32, 39]",24,1,Депутат Государственной Думы,22,2,0.014416775884666,1027,86,148,105,40,98,0,22
5c77c6d5fed91f583dd7a75c,Василенко Александр Борисович,"[4, 26, 34, 36]",24,1,Депутат Государственной Думы,15,2,0.006318449873631,1854,108,222,70,38,67,0,15
5c77c6d5fed91f583dd7a75d,Васильев Александр Николаевич,"[2, 26, 39]",19,1,Депутат Государственной Думы,6,2,0.012931034482759,283,41,59,25,16,27,7,6
5c77c6d5fed91f583dd7a75e,Веллер Алексей Борисович,"[2, 28]",25,1,Депутат Государственной Думы,2,2,0.009216589861751,117,25,41,12,8,12,0,2
5c77c6d5fed91f583dd7a75f,Веремеенко Сергей Алексеевич,"[4, 5, 7, 24, 32, 38]",19,1,Депутат Государственной Думы,3,3,0.037974683544304,31,6,12,9,6,12,0,3
5c77c6d5fed91f583dd7a760,Ветлужских Андрей Леонидович,"[27, 39]",25,1,Депутат Государственной Думы,20,2,0.006576783952647,2481,130,188,79,57,86,0,20
5c77c6d5fed91f583dd7a761,Власов Василий Максимович,[2],16,3,Депутат Государственной Думы,1,2,0.003759398496241,73,30,154,2,2,4,0,1
5c77c6d5fed91f583dd7a762,Водолацкий Виктор Петрович,"[1, 2, 6, 35]",6,1,Депутат Государственной Думы,139,2,0.013387267649042,7320,530,854,627,296,614,3,139
5c77c6d5fed91f583dd7a763,Воевода Алексей Иванович,[32],16,1,Депутат Государственной Думы,23,2,0.009627459187945,1826,109,161,98,67,102,3,23
5c77c6d5fed91f583dd7a764,Волков Юрий Геннадьевич,"[2, 33]",21,3,Депутат Государственной Думы,1,2,0.003194888178914,126,24,140,8,4,10,0,1
5c77c6d5fed91f583dd7a765,Володин Вячеслав Викторович,"[1, 2, 26, 39]",0,1,Депутат Государственной Думы,12,3,0.034090909090909,97,34,52,58,36,56,7,12
5c77c6d5fed91f583dd7a766,Воробьев Александр Васильевич,"[8, 17, 30]",1,1,Депутат Государственной Думы,3,2,0.006382978723404,386,17,24,13,9,18,0,3
5c77c6d5fed91f583dd7a767,Воронина Татьяна Евгеньевна,"[2 ,12, 22]",4,1,Депутат Государственной Думы,5,1,0.005561735261402,764,30,50,18,12,20,0,5
5c77c6d5fed91f583dd7a768,Вострецов Сергей Алексеевич,"[26, 35, 36, 39]",20,1,Депутат Государственной Думы,17,2,0.008220502901354,1595,106,160,71,45,71,3,17
5c77c6d5fed91f583dd7a769,Вторыгина Елена Андреевна,"[1, 2, 27, 39]",4,1,Депутат Государственной Думы,66,2,0.013684428778768,3453,230,343,327,113,291,0,66
5c77c6d5fed91f583dd7a76a,Выборный Анатолий Борисович,"[35, 38, 39, 40]",2,1,Депутат Государственной Думы,121,2,0.016402331571099,4792,421,691,579,228,537,8,121
5c77c6d5fed91f583dd7a76b,Вяткин Дмитрий Федорович,"[2, 40]",17,1,Депутат Государственной Думы,45,2,0.019472090004327,1350,155,279,186,96,200,0,45
5c77c6d5fed91f583dd7a76c,Гаврилов Сергей Анатольевич,"[2, 13, 39]",17,2,Депутат Государственной Думы,25,2,0.017385257301808,696,162,269,125,25,136,0,25
5c77c6d5fed91f583dd7a76d,Гаджиев Магомед Тажудинович,"[1, 8, 40]",17,1,Депутат Государственной Думы,129,2,0.013438899885405,6757,493,805,582,260,570,3,129
5c77c6d5fed91f583dd7a76e,Гаджиев Мурад Станиславович,"[2, 8]",19,1,Депутат Государственной Думы,94,2,0.010799632352941,6485,389,663,430,212,416,15,94
5c77c6d5fed91f583dd7a76f,Гадыльшин Мурад Асфандиарович,"[1, 2, 24, 26]",12,1,Депутат Государственной Думы,7,1,0.006542056074766,898,33,60,25,17,30,0,7
5c77c6d5fed91f583dd7a770,Газгиреев Юшаа Орснакиевич,"[5, 28]",26,1,Депутат Государственной Думы,5,2,0.009191176470588,400,26,59,17,13,24,0,5
5c77c6d5fed91f583dd7a771,Газзаев Валерий Георгиевич,"[32, 39]",22,4,Депутат Государственной Думы,4,2,0.003344481605351,317,162,675,11,11,16,0,4
5c77c6d5fed91f583dd7a772,Ганзя Вера Анатольевна,"[2, 26]",3,2,Депутат Государственной Думы,3,2,0.002967359050445,359,134,488,9,6,12,0,3
5c77c6d5fed91f583dd7a773,Ганиев Фарит Глюсович,"[26, 35, 40]",2,1,Депутат Государственной Думы,13,1,0.005565068493151,1956,80,138,57,33,56,3,13
5c77c6d5fed91f583dd7a774,Гартунг Валерий Карлович,"[16, 24, 39]",25,4,Депутат Государственной Думы,6,2,0.003799873337555,498,213,801,23,14,24,0,6
5c77c6d5fed91f583dd7a775,Геккиев Заур Далхатович,"[1, 2, 6]",12,1,Депутат Государственной Думы,22,2,0.011270491803279,1475,89,139,84,51,92,0,22
5c77c6d5fed91f583dd7a776,Герасименко Николай Федорович,"[25, 26]",15,1,Депутат Государственной Думы,13,2,0.009885931558935,1007,63,83,67,26,56,0,13
5c77c6d5fed91f583dd7a777,Германова Ольга Михайловна,"[1, 2, 26]",11,1,Депутат Государственной Думы,8,2,0.007662835249042,779,58,79,40,30,50,0,8
